nazwa,lokalizacja,url,ilosc_samochodow,srednia_cena,sredni_wiek
V-KAMIX,Płońsk,https://allegro.pl/uzytkownik/V-KAMIX,2,10900.0,2001.5
skryty84,Płock,https://allegro.pl/uzytkownik/skryty84,2,147499.5,2015.5
Client:45405557,Gdańsk,https://allegro.pl/uzytkownik/Client:45405557,1,20000.0,2008.0
TomekA8,Opole,https://allegro.pl/uzytkownik/TomekA8,2,51000.0,2016.0
Wienia1974,Ostrowiec świętokrzyski,https://allegro.pl/uzytkownik/Wienia1974,1,38500.0,2009.0
Romwal,Skórzewo,https://allegro.pl/uzytkownik/Romwal,1,51500.0,2009.0
tomcio2411,Wińsko,https://allegro.pl/uzytkownik/tomcio2411,1,27500.0,2008.0
Client:42515024,Bełchatów,https://allegro.pl/uzytkownik/Client:42515024,1,18700.0,2005.0
RAFAU_91,Gdańsk- osowa,https://allegro.pl/uzytkownik/RAFAU_91,1,23500.0,2007.0
karolakrest,Łyszkowice,https://allegro.pl/uzytkownik/karolakrest,1,61900.0,2012.0
Rafael7732,Płock,https://allegro.pl/uzytkownik/Rafael7732,6,18600.0,2007.17
ANNA-WACHNICKA,Warszawa,https://allegro.pl/uzytkownik/ANNA-WACHNICKA,2,69700.0,2015.0
kubrak25,Świdnica,https://allegro.pl/uzytkownik/kubrak25,1,47900.0,2012.0
TOM-WOJ7,Daleszyce,https://allegro.pl/uzytkownik/TOM-WOJ7,23,178652.17,2015.61
MojeHandMade,Gliwice,https://allegro.pl/uzytkownik/MojeHandMade,1,78900.0,2013.0
kornelos73,Kokoszkowy,https://allegro.pl/uzytkownik/kornelos73,1,51900.0,2011.0
vagaudiservice,Sieraków śląski,https://allegro.pl/uzytkownik/vagaudiservice,2,102000.0,2011.0
Truskawka215,Szczecinek,https://allegro.pl/uzytkownik/Truskawka215,1,45900.0,2012.0
pjan22,Poznań,https://allegro.pl/uzytkownik/pjan22,1,18900.0,2006.0
sonikx83,Będzin,https://allegro.pl/uzytkownik/sonikx83,1,67900.0,2012.0
york1329,Raba wyżna,https://allegro.pl/uzytkownik/york1329,1,29000.0,2004.0
robert24445,Zator,https://allegro.pl/uzytkownik/robert24445,1,24500.0,2006.0
snoop,Warszawa,https://allegro.pl/uzytkownik/snoop,1,37900.0,2011.0
PROLUX007,Toruń ,https://allegro.pl/uzytkownik/PROLUX007,1,15900.0,2003.0
DreamCarsGubin,Gubin,https://allegro.pl/uzytkownik/DreamCarsGubin,9,104700.0,2014.78
PW-Piotr,Bydgoszcz ,https://allegro.pl/uzytkownik/PW-Piotr,1,199900.0,2017.0
FirmaRybex,Nowa sól,https://allegro.pl/uzytkownik/FirmaRybex,1,16900.0,2005.0
sound2011,Wrocław,https://allegro.pl/uzytkownik/sound2011,1,16000.0,2005.0
ciemny-eu,Głogów,https://allegro.pl/uzytkownik/ciemny-eu,1,9900.0,1999.0
michal_fonsi,Osielsko,https://allegro.pl/uzytkownik/michal_fonsi,2,87499.5,2016.5
AuTO-PaSsJA,Radom,https://allegro.pl/uzytkownik/AuTO-PaSsJA,6,43266.67,2010.0
ari_m,Łomża,https://allegro.pl/uzytkownik/ari_m,1,72500.0,2011.0
pabluk90,Bełchatów,https://allegro.pl/uzytkownik/pabluk90,16,28462.5,2010.69
Euro_bruk,Pakosławice,https://allegro.pl/uzytkownik/Euro_bruk,1,79900.0,2010.0
GrzegorzR56,Bydgoszcz,https://allegro.pl/uzytkownik/GrzegorzR56,1,83900.0,2012.0
dandi301,Jarosław,https://allegro.pl/uzytkownik/dandi301,1,39999.0,2012.0
Dobre--Auta,Łódź-poznań-warszawa-gdansk-wrocław,https://allegro.pl/uzytkownik/Dobre--Auta,18,60322.22,2015.11
Client:41876083,Zbydniów,https://allegro.pl/uzytkownik/Client:41876083,1,36000.0,2008.0
dorkar1977,Baranow,https://allegro.pl/uzytkownik/dorkar1977,1,77500.0,2016.0
blondyna01m,Zelów,https://allegro.pl/uzytkownik/blondyna01m,1,20000.0,2007.0
BAWARIA-CARS,Karpacz,https://allegro.pl/uzytkownik/BAWARIA-CARS,8,48225.0,2009.12
PHU_STANPOL,Ząbkowice śląskie,https://allegro.pl/uzytkownik/PHU_STANPOL,1,69500.0,2015.0
Patyk0788,Siemiatycze,https://allegro.pl/uzytkownik/Patyk0788,1,6500.0,2000.0
krzysiek252011,Pruszków,https://allegro.pl/uzytkownik/krzysiek252011,1,26000.0,2005.0
irekwanicki,Cieszyn,https://allegro.pl/uzytkownik/irekwanicki,2,79750.0,2016.0
PREZES-P7,Warszawa,https://allegro.pl/uzytkownik/PREZES-P7,2,70150.0,2012.5
tomekgorski10,Kawęczyn,https://allegro.pl/uzytkownik/tomekgorski10,1,68500.0,2011.0
Drukarnia-Marker,Warszawa,https://allegro.pl/uzytkownik/Drukarnia-Marker,1,22900.0,2007.0
Kara261996,Chocznia,https://allegro.pl/uzytkownik/Kara261996,1,23500.0,2008.0
grzeka,Kraków,https://allegro.pl/uzytkownik/grzeka,1,220000.0,2016.0
kasiabyd07,Bydgoszcz,https://allegro.pl/uzytkownik/kasiabyd07,1,22000.0,2001.0
kuchna06,Racławice,https://allegro.pl/uzytkownik/kuchna06,1,68000.0,2012.0
marta2_2,Węgierska górka,https://allegro.pl/uzytkownik/marta2_2,1,35900.0,2011.0
Polcyn_Michal,Budzyń,https://allegro.pl/uzytkownik/Polcyn_Michal,1,13900.0,2002.0
Michal_Pee,Sandomierz,https://allegro.pl/uzytkownik/Michal_Pee,2,32350.0,2012.5
bartus_1395,Borkowizna 3,https://allegro.pl/uzytkownik/bartus_1395,1,26500.0,2005.0
Maciej3652,Małkinia,https://allegro.pl/uzytkownik/Maciej3652,1,23900.0,2005.0
volvo17,Bąkowo,https://allegro.pl/uzytkownik/volvo17,1,145000.0,2013.0
cycu-cycu,Bieńkowice,https://allegro.pl/uzytkownik/cycu-cycu,1,23500.0,2006.0
Kasiorekli,Tylmanowa,https://allegro.pl/uzytkownik/Kasiorekli,1,28000.0,2003.0
mk_auto,Płock ,https://allegro.pl/uzytkownik/mk_auto,30,50955.9,2014.03
